"gene","module","MM","p_MM","GS_AGE","p_GS_AGE","abs_MM","abs_GS_AGE","rank_in_module","symbol","is_GenAge","gene_type","chromosome","gene_start","gene_end","strand","TSS","gene_length","ERV_position_eligible","promoter_ERV_n","promoter_ERV_any","promoter_ERV_families","nearest_ERV_distance","nearest_ERV_signed_distance","nearest_ERV_fragment_id","nearest_ERV_repName","nearest_ERV_family","nearest_ERV_part","nearest_ERV_start","nearest_ERV_end","nearest_ERV_strand","nearest_ERV_direction","AGE_expression_direction","candidate_group","priority_rank"
"ENSG00000287299.1","midnightblue",0.764946186078026,4.62012554337652e-158,0.235519462977617,8.98379216089376e-12,0.764946186078026,0.235519462977617,5,"ENSG00000287299",FALSE,"lncRNA","chr2",200390666,200477635,"-",200477635,86970,TRUE,3,TRUE,"ERV1;ERVL-MaLR",384,384,"chr2_200476473_200477250_LTR1D1","LTR1D1","ERV1","LTR_or_other",200476473,200477250,"-","downstream","increases_with_age","promoter_ERV",13
"ENSG00000164402.14","turquoise",0.840874534661576,9.13424713897675e-220,0.232516704371831,1.66824815776388e-11,0.840874534661576,0.232516704371831,23,"SEPTIN8",FALSE,"protein_coding","chr5",132750819,132807241,"-",132807241,56423,TRUE,1,TRUE,"ERV1",585,585,"chr5_132806617_132806655_LTR54","LTR54","ERV1","LTR_or_other",132806617,132806655,"+","downstream","increases_with_age","promoter_ERV",14
"ENSG00000163565.20","pink",0.902155806267507,3.64138568044942e-300,0.213078620348224,7.47441836554577e-10,0.902155806267507,0.213078620348224,1,"IFI16",FALSE,"protein_coding","chr1",158999968,159055155,"+",158999968,55188,TRUE,1,TRUE,"ERVL-MaLR",4,-4,"chr1_158999860_158999963_MSTB","MSTB","ERVL-MaLR","LTR_or_other",158999860,158999963,"+","upstream","increases_with_age","promoter_ERV",15
"ENSG00000168077.14","turquoise",0.850596367297371,5.2307470032724e-230,0.209444731167978,1.46371260392337e-09,0.850596367297371,0.209444731167978,12,"SCARA3",FALSE,"protein_coding","chr8",27633868,27676776,"+",27633868,42909,TRUE,2,TRUE,"ERV1",1052,-1052,"chr8_27632246_27632815_LTR31","LTR31","ERV1","LTR_or_other",27632246,27632815,"+","upstream","increases_with_age","promoter_ERV",16
"ENSG00000006042.12","turquoise",0.853663988518219,2.15986221343241e-233,0.207387069348949,2.13014122300581e-09,0.853663988518219,0.207387069348949,10,"TMEM98",FALSE,"protein_coding","chr17",32927910,32945106,"+",32927910,17197,TRUE,3,TRUE,"ERV1",868,-868,"chr17_32927012_32927041_MER51A","MER51A","ERV1","LTR_or_other",32927012,32927041,"+","upstream","increases_with_age","promoter_ERV",17
"ENSG00000252051.1","blue",0.873092233041618,8.55187805737813e-257,0.202491865311049,5.12110306212634e-09,0.873092233041618,0.202491865311049,19,"RN7SKP276",FALSE,"misc_RNA","chr1",229410571,229410767,"-",229410767,197,TRUE,1,TRUE,"ERV1",1650,-1650,"chr1_229412418_229412815_LTR7","LTR7","ERV1","LTR_or_other",229412418,229412815,"+","upstream","increases_with_age","promoter_ERV",18
"ENSG00000168404.13","pink",0.824932151555313,2.21904714123316e-204,0.184558960379314,1.05970551736731e-07,0.824932151555313,0.184558960379314,13,"MLKL",FALSE,"protein_coding","chr16",74671855,74700960,"-",74700960,29106,TRUE,3,TRUE,"ERV1;ERVL",681,-681,"chr16_74701642_74702046_MER51B","MER51B","ERV1","LTR_or_other",74701642,74702046,"+","upstream","increases_with_age","promoter_ERV",19
"ENSG00000205312.8","darkgreen",0.730847316540417,1.70107122347277e-137,0.184285122470544,1.10743264806128e-07,0.730847316540417,0.184285122470544,28,"KRT17P4",FALSE,"transcribed_unprocessed_pseudogene","chr17",16847852,16851908,"-",16851908,4057,TRUE,1,TRUE,"ERVK",878,-878,"chr17_16852787_16853018_LTR14A","LTR14A","ERVK","LTR_or_other",16852787,16853018,"-","upstream","increases_with_age","promoter_ERV",20
"ENSG00000142089.17","pink",0.842875798588602,8.11998951528774e-222,0.184193651664017,1.12383277943348e-07,0.842875798588602,0.184193651664017,10,"IFITM3",FALSE,"protein_coding","chr11",319676,329475,"-",329475,9800,TRUE,2,TRUE,"ERV1;ERVL-MaLR",0,0,"chr11_329237_329833_LTR71B","LTR71B","ERV1","LTR_or_other",329237,329833,"+","overlaps_TSS","increases_with_age","promoter_ERV",21
"ENSG00000185201.18","pink",0.847990675889898,3.41920521801523e-227,0.16997198614401,1.01090004603583e-06,0.847990675889898,0.16997198614401,8,"IFITM2",FALSE,"protein_coding","chr11",303655,309397,"+",303655,5743,TRUE,6,TRUE,"ERV1",0,0,"chr11_303522_303699_MER41E","MER41E","ERV1","LTR_or_other",303522,303699,"-","overlaps_TSS","increases_with_age","promoter_ERV",22
"ENSG00000286452.1","blue",0.889989984202026,1.57131509796524e-280,0.161569553034765,3.40927932362827e-06,0.889989984202026,0.161569553034765,6,"ENSG00000286452",FALSE,"lncRNA","chr6",141403240,141404494,"+",141403240,1255,TRUE,2,TRUE,"ERV1",0,0,"chr6_141402823_141403281_LOR1a","LOR1a","ERV1","LTR_or_other",141402823,141403281,"+","overlaps_TSS","increases_with_age","promoter_ERV",23
"ENSG00000146416.19","blue",0.876239442387565,6.00275238524489e-261,0.158807525368561,5.01750724574437e-06,0.876239442387565,0.158807525368561,15,"AIG1",FALSE,"protein_coding","chr6",143060496,143341058,"+",143060496,280563,TRUE,1,TRUE,"ERV1",1093,-1093,"chr6_143058930_143059402_LTR12F","LTR12F","ERV1","LTR_or_other",143058930,143059402,"+","upstream","increases_with_age","promoter_ERV",24
"ENSG00000133740.11","midnightblue",0.713269405260272,4.39008330131783e-128,0.157484440429917,6.02398041191405e-06,0.713269405260272,0.157484440429917,9,"E2F5",FALSE,"protein_coding","chr8",85177154,85217158,"+",85177154,40005,TRUE,1,TRUE,"ERVL-MaLR",1708,-1708,"chr8_85175097_85175445_MLT1A","MLT1A","ERVL-MaLR","LTR_or_other",85175097,85175445,"+","upstream","increases_with_age","promoter_ERV",25
"ENSG00000145623.13","pink",0.873798813472658,1.02149551555802e-257,0.145147195929175,3.08567710428483e-05,0.873798813472658,0.145147195929175,4,"OSMR",FALSE,"protein_coding","chr5",38845858,38945490,"+",38845858,99633,TRUE,1,TRUE,"ERVL-MaLR",1796,-1796,"chr5_38843659_38844061_MLT1C","MLT1C","ERVL-MaLR","LTR_or_other",38843659,38844061,"-","upstream","increases_with_age","promoter_ERV",26
"ENSG00000246465.1","blue",0.861198988248248,4.81208209912981e-242,0.12734206060401,0.00026083762803907,0.861198988248248,0.12734206060401,29,"ENSG00000246465",FALSE,"lncRNA","chr16",28284885,28287067,"-",28287067,2183,TRUE,2,TRUE,"ERVL",892,-892,"chr16_28287960_28288392_LTR16B2","LTR16B2","ERVL","LTR_or_other",28287960,28288392,"-","upstream","increases_with_age","promoter_ERV",27
"ENSG00000179915.25","darkgreen",0.733930936161109,3.18077760346741e-139,0.121830963757736,0.000479169711809117,0.733930936161109,0.121830963757736,26,"NRXN1",FALSE,"protein_coding","chr2",49918503,51225575,"-",51225575,1307073,TRUE,2,TRUE,"ERVL",17,-17,"chr2_51225593_51225757_ERV3-16A3_I-int","ERV3-16A3_I-int","ERVL","internal",51225593,51225757,"-","upstream","increases_with_age","promoter_ERV",28
"ENSG00000097046.13","pink",0.786200727948064,9.55403074915573e-173,0.107273761321433,0.00212428709283089,0.786200727948064,0.107273761321433,29,"CDC7",FALSE,"protein_coding","chr1",91500851,91525764,"+",91500851,24914,TRUE,1,TRUE,"ERV1",1261,-1261,"chr1_91498984_91499589_MER90a","MER90a","ERV1","LTR_or_other",91498984,91499589,"-","upstream","increases_with_age","promoter_ERV",29
"ENSG00000285564.2","blue",0.874341115821784,1.98236970772552e-258,0.105069608305409,0.00262281105363079,0.874341115821784,0.105069608305409,17,"ENSG00000285564",FALSE,"lncRNA","chr6",163338363,163346744,"-",163346744,8382,TRUE,1,TRUE,"ERVL-MaLR",1360,-1360,"chr6_163348105_163348568_MLT1D","MLT1D","ERVL-MaLR","LTR_or_other",163348105,163348568,"+","upstream","increases_with_age","promoter_ERV",30
"ENSG00000071991.9","darkgreen",0.809411599667837,7.8004234885017e-191,0.0996733087817856,0.00432438556535643,0.809411599667837,0.0996733087817856,13,"CDH19",FALSE,"protein_coding","chr18",66501083,66604138,"-",66604138,103056,TRUE,1,TRUE,"ERV1",808,-808,"chr18_66604947_66605002_MER4-int","MER4-int","ERV1","internal",66604947,66605002,"-","upstream","increases_with_age","promoter_ERV",31
"ENSG00000122477.13","blue",0.875744642156014,2.74706897751181e-260,0.0795547966607825,0.0228789033983589,0.875744642156014,0.0795547966607825,16,"LRRC39",FALSE,"protein_coding","chr1",100148448,100178273,"-",100178273,29826,TRUE,1,TRUE,"ERVL-MaLR",1811,-1811,"chr1_100180085_100180244_MLT1N2","MLT1N2","ERVL-MaLR","LTR_or_other",100180085,100180244,"+","upstream","increases_with_age","promoter_ERV",32
"ENSG00000105695.15","darkgreen",0.727069968459703,2.06683958512807e-135,0.010156928008427,0.771771482039567,0.727069968459703,0.010156928008427,29,"MAG",FALSE,"protein_coding","chr19",35292125,35313807,"+",35292125,21683,TRUE,1,TRUE,"ERVL-MaLR",1725,-1725,"chr19_35290333_35290399_MLT1B","MLT1B","ERVL-MaLR","LTR_or_other",35290333,35290399,"+","upstream","increases_with_age","promoter_ERV",33
